epoch,phase,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,lr,elapsed_s
1,warm-up,0.47333538020315347,0.859941016574054,0.7586273006134969,0.46315905451774597,0.8125,0.75,0.001,76.6
2,warm-up,0.41042769777994215,0.8950229727454235,0.8048312883435583,0.34910473227500916,0.921875,0.875,0.0007502499999999998,72.3
3,warm-up,0.40605815851980925,0.8962308339948521,0.8063650306748467,0.36015576124191284,0.921875,0.875,0.00025075,73.1
4,finetune,0.25824216724676224,0.9608124894758365,0.9001150306748467,2.229625940322876,0.984375,0.625,0.001,189.0
5,finetune,0.15122212680410937,0.9876360924683072,0.9537960122699386,0.5403338670730591,0.984375,0.875,0.0009949158102195248,201.4
6,finetune,0.13648364587224152,0.9903500036082846,0.955329754601227,0.02045331709086895,1.0,1.0,0.000979766740320441,217.8
7,finetune,0.1151557289331043,0.9934719876837218,0.9670245398773006,0.44098320603370667,1.0,0.875,0.00095486118167958,279.8
8,finetune,0.09830646915932649,0.995107454716028,0.9712423312883436,0.046824123710393906,1.0,1.0,0.0009207061396491734,262.2
9,finetune,0.0850065788275568,0.9957743619350028,0.973351226993865,0.014274388551712036,1.0,1.0,0.0008779969123899509,242.7
10,finetune,0.06913580764849253,0.9974739121021866,0.977569018404908,2.5569519996643066,1.0,0.625,0.0008276029366056697,210.0
11,finetune,0.07249185873232668,0.9972568376993577,0.9798696319018405,0.07803943753242493,1.0,1.0,0.0007705500883190706,246.7
12,finetune,0.06044115017386413,0.9982092323975847,0.9840874233128835,0.0418672077357769,1.0,1.0,0.000707999798994442,239.8
13,finetune,0.05847563337760712,0.9985569748141734,0.9850460122699386,0.0021275796461850405,1.0,1.0,0.0006412254121422949,245.1
